log_id,product,interactions_processed,avg_response_time_sec,ai_accuracy_percent,confidence_score_percent,compliance_score_percent,uptime_percent,log_date
AILOG00320,Sherpa AI,367,2.15,83.25,92.57,98.85,99.307,2026-01-07
AILOG00321,Sherpa AI,175,2.92,94.48,79.38,96.86,98.92,2026-03-14
AILOG00322,Sherpa AI,164,1.89,84.26,90.43,94.05,99.373,2026-02-28
AILOG00323,Sherpa AI,440,2.22,87.3,80.79,88.99,100.0,2025-12-27
AILOG00324,Sherpa AI,383,1.72,89.15,90.03,91.27,99.198,2026-05-05
AILOG00325,Sherpa AI,230,2.01,94.69,96.37,92.95,98.682,2026-01-11
AILOG00326,Voice Solution,174,2.04,93.49,88.61,91.11,99.41,2026-04-07
AILOG00327,Voice Solution,261,1.51,89.67,91.02,88.54,99.595,2026-06-16
AILOG00328,Voice Solution,95,1.38,94.46,92.95,91.33,99.734,2026-06-22
AILOG00329,Sherpa AI,342,2.22,95.45,93.09,93.42,99.649,2025-11-11
AILOG00330,Voice Solution,397,2.1,86.85,93.34,98.77,99.383,2026-04-24
AILOG00331,Voice Solution,471,2.75,87.23,91.74,91.98,98.883,2026-03-11
AILOG00332,Sherpa AI,194,1.8,92.37,86.99,95.97,98.808,2025-11-02
AILOG00333,Voice Solution,130,1.15,96.64,92.58,91.07,99.131,2026-07-07
AILOG00334,Voice Solution,478,1.81,85.87,95.96,93.33,99.608,2026-05-19
AILOG00335,Voice Solution,437,2.3,80.71,91.94,93.9,98.975,2026-05-01
AILOG00336,Sherpa AI,37,0.42,91.92,90.76,98.8,99.055,2026-03-07
AILOG00337,Voice Solution,310,1.8,95.14,83.3,85.99,98.857,2026-05-16
AILOG00338,Voice Solution,293,2.23,89.58,85.75,91.57,100.0,2025-12-14
AILOG00339,Voice Solution,257,1.95,99.9,87.12,94.74,99.189,2025-11-10
AILOG00340,Voice Solution,217,1.57,85.23,85.61,95.25,99.636,2026-06-13
AILOG00341,Voice Solution,181,1.02,85.66,89.34,90.47,100.0,2026-06-04
AILOG00342,Sherpa AI,436,1.79,85.6,86.29,93.88,98.824,2026-05-30
AILOG00343,Voice Solution,403,1.0,89.39,93.47,94.04,99.679,2026-06-05
AILOG00344,Voice Solution,219,2.24,89.5,88.41,98.41,99.253,2025-12-19
AILOG00345,Sherpa AI,253,1.84,85.54,85.54,94.63,100.0,2026-04-12
AILOG00346,Sherpa AI,402,2.77,94.06,86.31,93.57,98.904,2026-05-12
AILOG00347,Voice Solution,359,0.53,90.21,90.27,91.89,99.407,2026-03-25
AILOG00348,Voice Solution,487,1.58,84.34,88.87,95.82,99.617,2026-04-08
AILOG00349,Sherpa AI,62,2.28,91.76,90.17,93.24,98.958,2026-04-29
AILOG00350,Voice Solution,101,2.54,87.11,89.01,92.3,99.196,2025-11-26
AILOG00351,Sherpa AI,46,2.3,89.46,96.87,91.06,99.23,2026-02-08
AILOG00352,Voice Solution,323,1.18,92.99,93.43,93.11,99.847,2026-02-19
AILOG00353,Voice Solution,88,1.49,93.5,86.56,96.1,100.0,2025-12-21
AILOG00354,Sherpa AI,218,0.35,93.12,82.22,92.46,100.0,2025-11-15
AILOG00355,Voice Solution,425,1.83,89.22,88.56,94.1,100.0,2026-03-08
AILOG00356,Voice Solution,437,2.56,84.61,85.45,92.33,97.207,2026-03-20
AILOG00357,Sherpa AI,446,1.8,87.57,83.09,94.51,99.366,2026-06-30
AILOG00358,Voice Solution,480,2.17,89.1,92.55,94.25,99.332,2025-12-16
AILOG00359,Voice Solution,391,2.16,95.96,89.96,91.64,99.7,2026-06-22
AILOG00360,Sherpa AI,499,1.59,86.63,94.49,96.5,98.58,2026-01-11
AILOG00361,Sherpa AI,235,0.25,89.91,89.7,89.63,99.663,2026-02-03
AILOG00362,Voice Solution,143,2.67,83.45,89.13,97.41,98.257,2026-03-12
AILOG00363,Sherpa AI,35,2.08,90.53,84.9,94.99,99.814,2025-12-02
AILOG00364,Voice Solution,145,0.99,88.8,87.5,95.76,98.476,2025-12-07
AILOG00365,Sherpa AI,33,2.04,88.42,82.82,89.05,99.912,2026-03-06
AILOG00366,Sherpa AI,58,1.93,92.81,94.16,93.85,99.887,2026-03-18
AILOG00367,Sherpa AI,218,2.65,85.91,84.73,98.6,99.133,2026-02-08
AILOG00368,Sherpa AI,127,2.11,95.3,90.88,93.56,99.519,2026-06-30
AILOG00369,Voice Solution,287,2.11,85.58,89.01,94.39,99.298,2026-07-03
AILOG00370,Voice Solution,487,1.93,95.15,91.55,90.57,98.561,2025-11-27
AILOG00371,Voice Solution,372,1.3,81.82,90.14,89.68,99.581,2026-05-28
AILOG00372,Voice Solution,330,2.24,90.38,84.71,94.69,99.894,2026-02-07
AILOG00373,Voice Solution,409,1.78,91.75,88.67,91.97,99.139,2026-03-17
AILOG00374,Sherpa AI,59,1.18,87.38,95.07,92.34,99.619,2026-05-06
AILOG00375,Sherpa AI,366,1.37,90.25,86.71,94.19,98.861,2025-12-06
AILOG00376,Voice Solution,288,1.06,87.36,94.63,96.06,99.759,2026-02-26
AILOG00377,Sherpa AI,88,2.49,91.01,92.65,95.58,99.305,2026-04-07
AILOG00378,Sherpa AI,171,3.09,90.13,90.56,94.3,99.293,2026-04-18
AILOG00379,Voice Solution,477,2.55,98.98,87.04,96.66,99.535,2025-12-25
AILOG00380,Voice Solution,206,2.04,82.8,91.09,97.13,100.0,2026-01-23
AILOG00381,Voice Solution,449,1.76,89.9,87.96,93.61,99.563,2025-11-06
AILOG00382,Voice Solution,371,1.61,87.11,94.42,99.0,98.759,2026-07-14
AILOG00383,Sherpa AI,476,1.16,89.56,84.85,90.74,98.941,2026-05-17
AILOG00384,Sherpa AI,260,3.07,88.39,91.23,89.4,99.264,2026-04-01
AILOG00385,Voice Solution,246,1.13,87.43,90.12,98.15,99.548,2026-04-19
AILOG00386,Sherpa AI,447,1.25,86.65,91.31,91.9,98.719,2026-07-06
AILOG00387,Voice Solution,223,1.67,92.21,92.87,85.98,99.475,2026-07-07
AILOG00388,Sherpa AI,286,1.73,87.32,86.45,93.02,99.745,2026-03-30
AILOG00389,Sherpa AI,137,2.19,88.9,86.44,97.69,99.05,2026-05-29
AILOG00390,Voice Solution,336,1.36,89.84,90.86,93.08,100.0,2026-06-16
AILOG00391,Sherpa AI,311,0.51,85.74,93.86,88.67,98.929,2026-07-02
AILOG00392,Voice Solution,475,1.65,91.74,89.0,93.13,99.401,2026-03-21
AILOG00393,Voice Solution,413,1.69,84.69,95.75,93.44,98.256,2026-02-28
AILOG00394,Sherpa AI,481,1.64,91.22,88.8,92.99,99.142,2026-04-29
AILOG00395,Voice Solution,241,1.63,90.81,87.15,91.84,99.226,2026-03-05
AILOG00396,Voice Solution,404,1.57,88.4,91.82,91.98,99.086,2026-06-30
AILOG00397,Sherpa AI,82,0.94,84.07,87.82,96.18,98.931,2026-05-31
AILOG00398,Voice Solution,415,2.75,89.03,87.87,92.26,99.041,2025-11-17
AILOG00399,Voice Solution,24,2.71,84.35,91.04,94.48,99.617,2025-11-16
AILOG00400,Voice Solution,353,2.71,88.5,93.73,94.47,98.341,2026-07-15
AILOG00401,Voice Solution,311,1.03,92.55,91.21,92.15,98.37,2025-12-16
AILOG00402,Voice Solution,164,2.06,88.93,90.43,91.74,99.054,2026-07-16
AILOG00403,Voice Solution,461,1.53,94.64,97.69,94.21,99.239,2026-03-23
AILOG00404,Sherpa AI,169,1.49,90.33,92.79,89.04,98.909,2025-11-13
AILOG00405,Sherpa AI,178,1.2,92.48,88.65,99.98,99.332,2025-12-15
AILOG00406,Voice Solution,429,3.47,92.23,94.41,92.28,99.61,2025-12-17
AILOG00407,Voice Solution,288,1.64,95.33,89.04,92.83,99.789,2025-11-16
AILOG00408,Sherpa AI,466,1.2,83.13,92.41,96.21,99.962,2026-02-15
AILOG00409,Sherpa AI,470,1.89,86.65,92.16,93.49,98.638,2025-11-03
AILOG00410,Voice Solution,338,2.3,89.13,90.01,92.75,98.914,2026-02-12
AILOG00411,Sherpa AI,30,1.71,92.6,87.1,89.99,98.861,2026-02-03
AILOG00412,Voice Solution,88,1.96,89.76,89.89,94.31,99.806,2026-03-13
AILOG00413,Sherpa AI,211,2.45,88.97,88.1,92.36,98.984,2026-05-20
AILOG00414,Voice Solution,121,1.18,93.64,91.05,100.0,99.454,2026-07-12
AILOG00415,Sherpa AI,471,1.92,87.48,91.69,93.38,98.593,2026-05-02
AILOG00416,Voice Solution,51,1.38,87.27,82.12,87.2,98.978,2026-03-30
AILOG00417,Sherpa AI,221,1.3,91.34,91.35,96.85,98.852,2025-12-07
AILOG00418,Voice Solution,285,2.94,99.77,99.9,91.0,99.642,2026-03-19
AILOG00419,Voice Solution,127,1.74,88.91,88.73,94.32,98.677,2026-02-08
AILOG00420,Sherpa AI,73,1.11,86.09,93.96,98.21,100.0,2026-06-24
AILOG00421,Sherpa AI,458,1.73,86.45,92.97,93.07,99.408,2026-01-23
AILOG00422,Sherpa AI,357,1.01,87.35,83.43,93.39,98.936,2025-12-03
AILOG00423,Voice Solution,209,1.66,94.97,91.99,96.8,99.471,2026-03-01
AILOG00424,Sherpa AI,258,1.36,87.35,86.64,98.28,98.893,2025-11-30
AILOG00425,Sherpa AI,458,2.13,90.37,89.21,93.59,98.769,2025-12-04
AILOG00426,Voice Solution,362,3.06,88.59,84.16,100.0,99.649,2026-03-13
AILOG00427,Sherpa AI,357,1.69,83.09,91.77,88.78,99.984,2026-05-27
AILOG00428,Sherpa AI,310,1.38,87.53,88.64,91.29,99.49,2026-03-20
AILOG00429,Sherpa AI,342,1.86,77.86,95.38,92.57,98.686,2026-01-15
AILOG00430,Sherpa AI,340,2.77,89.79,84.56,97.17,98.892,2026-01-14
AILOG00431,Sherpa AI,292,2.14,91.2,93.63,94.69,100.0,2025-12-28
AILOG00432,Sherpa AI,61,1.71,85.19,91.69,91.97,99.697,2026-02-06
AILOG00433,Sherpa AI,462,0.46,86.56,86.57,90.62,98.736,2026-03-05
AILOG00434,Sherpa AI,217,1.77,82.97,83.82,89.52,98.943,2026-03-14
AILOG00435,Sherpa AI,396,2.3,79.03,88.84,95.55,99.394,2026-06-14
AILOG00436,Sherpa AI,140,2.42,82.22,90.95,92.83,99.228,2026-05-19
AILOG00437,Voice Solution,414,2.65,91.93,85.74,97.04,100.0,2025-12-07
AILOG00438,Voice Solution,353,1.36,87.59,86.2,89.7,98.934,2026-03-18
AILOG00439,Sherpa AI,303,1.54,89.94,93.96,95.28,99.6,2026-05-27
AILOG00440,Sherpa AI,314,1.72,98.18,86.87,93.87,99.449,2026-05-13
AILOG00441,Voice Solution,201,2.26,93.49,92.32,92.16,98.47,2025-12-26
AILOG00442,Voice Solution,119,1.63,91.43,94.88,92.38,98.103,2026-01-26
AILOG00443,Voice Solution,30,2.14,86.82,86.78,94.31,99.108,2026-02-03
AILOG00444,Sherpa AI,390,1.55,96.02,85.0,93.91,99.509,2026-05-15
AILOG00445,Sherpa AI,252,1.34,94.56,93.49,91.33,100.0,2026-05-11
AILOG00446,Sherpa AI,461,2.52,93.02,88.8,95.55,98.909,2026-03-24
AILOG00447,Voice Solution,136,2.0,88.98,88.24,97.62,99.537,2025-11-10
AILOG00448,Voice Solution,443,2.29,84.84,95.71,93.27,99.155,2026-06-29
AILOG00449,Voice Solution,407,1.67,95.83,88.93,95.75,100.0,2026-03-29
AILOG00450,Voice Solution,83,2.32,92.92,91.11,93.52,99.28,2026-03-20
AILOG00451,Sherpa AI,195,1.11,88.08,83.55,100.0,99.08,2025-11-13
AILOG00452,Voice Solution,473,1.21,87.75,89.69,94.04,99.385,2026-07-12
AILOG00453,Voice Solution,102,2.41,83.5,86.47,96.1,99.396,2026-01-20
AILOG00454,Voice Solution,434,1.75,92.42,87.97,97.5,99.998,2026-05-29
AILOG00455,Voice Solution,21,1.64,89.77,87.74,92.08,99.303,2026-06-08
AILOG00456,Voice Solution,318,1.2,90.79,95.21,96.12,99.515,2025-12-29
AILOG00457,Voice Solution,236,2.32,93.19,87.35,96.59,98.473,2026-03-08
AILOG00458,Voice Solution,261,3.01,92.25,87.86,95.29,98.722,2025-11-29
AILOG00459,Voice Solution,316,2.19,85.06,96.14,96.29,99.112,2026-01-07
AILOG00460,Voice Solution,79,1.51,89.1,88.57,92.06,99.352,2026-05-26
AILOG00461,Sherpa AI,387,2.7,90.86,87.52,100.0,98.919,2026-04-24
AILOG00462,Sherpa AI,222,2.03,91.2,94.4,86.8,99.442,2026-06-06
AILOG00463,Voice Solution,449,1.52,81.84,90.06,91.48,99.038,2026-04-09
AILOG00464,Sherpa AI,59,2.63,84.47,90.35,89.99,100.0,2026-07-02
AILOG00465,Sherpa AI,334,1.68,91.96,91.2,99.17,99.197,2026-07-11
AILOG00466,Voice Solution,64,0.86,91.89,95.36,93.61,99.515,2026-05-08
AILOG00467,Voice Solution,317,1.59,96.24,85.86,91.17,99.191,2026-03-10
AILOG00468,Voice Solution,138,2.15,82.02,94.58,92.18,99.253,2025-11-03
AILOG00469,Voice Solution,424,1.33,93.04,84.03,89.43,99.573,2025-12-13
AILOG00470,Sherpa AI,150,0.58,90.69,86.74,95.88,99.369,2026-03-13
AILOG00471,Voice Solution,469,2.76,84.27,86.41,96.18,99.039,2026-04-27
AILOG00472,Sherpa AI,414,3.75,81.05,89.44,94.91,99.468,2025-11-24
AILOG00473,Voice Solution,299,1.49,93.23,87.0,91.85,99.221,2025-11-22
AILOG00474,Sherpa AI,69,1.39,84.57,95.08,98.58,99.591,2025-11-03
AILOG00475,Sherpa AI,107,0.92,83.09,92.08,96.35,99.874,2026-04-07
AILOG00476,Sherpa AI,40,1.27,91.04,89.94,88.77,99.796,2025-11-04
AILOG00477,Sherpa AI,428,0.81,88.96,86.49,93.42,98.769,2026-02-15
AILOG00478,Voice Solution,407,0.95,91.59,95.61,90.53,97.786,2026-06-20
AILOG00479,Sherpa AI,251,1.8,90.94,90.39,98.42,100.0,2026-06-26
AILOG00480,Voice Solution,400,0.77,99.9,89.0,92.65,99.562,2026-01-11
AILOG00481,Sherpa AI,62,0.85,92.26,89.46,89.86,99.489,2026-01-27
AILOG00482,Voice Solution,450,1.93,91.97,89.11,93.56,98.944,2025-11-16
AILOG00483,Voice Solution,42,1.4,85.03,93.38,98.77,98.275,2026-01-30
AILOG00484,Sherpa AI,463,2.03,96.03,94.52,96.59,98.299,2025-11-20
AILOG00485,Voice Solution,235,1.58,86.73,86.3,92.44,99.131,2026-05-31
AILOG00486,Voice Solution,296,1.68,84.9,87.39,93.48,99.377,2026-01-23
AILOG00487,Voice Solution,213,2.31,88.05,87.59,96.98,100.0,2026-03-06
AILOG00488,Sherpa AI,234,1.44,90.98,91.28,98.18,99.422,2025-12-21
AILOG00489,Sherpa AI,198,2.26,86.92,93.99,89.35,99.635,2025-11-18
AILOG00490,Sherpa AI,162,1.53,85.06,84.51,94.46,99.034,2026-02-25
AILOG00491,Sherpa AI,333,1.27,84.96,85.81,92.94,99.071,2026-03-04
AILOG00492,Voice Solution,45,1.1,89.93,88.63,92.54,98.563,2025-11-28
AILOG00493,Voice Solution,237,0.72,91.52,92.14,98.03,98.686,2026-03-21
AILOG00494,Sherpa AI,495,0.99,91.89,86.24,89.94,98.681,2025-11-06
AILOG00495,Sherpa AI,78,0.65,82.0,88.46,96.42,99.118,2026-04-06
AILOG00496,Voice Solution,365,1.15,85.26,87.11,87.15,98.468,2026-02-14
AILOG00497,Voice Solution,64,2.33,93.19,93.03,91.82,98.894,2026-02-27
AILOG00498,Voice Solution,469,1.79,87.09,89.56,94.1,99.28,2026-03-17
AILOG00499,Voice Solution,438,1.55,89.91,87.09,90.07,98.098,2025-11-29
AILOG00500,Voice Solution,243,1.35,99.9,85.29,100.0,100.0,2026-04-15
AILOG00501,Voice Solution,369,1.75,78.85,88.42,91.85,100.0,2026-01-04
AILOG00502,Voice Solution,275,1.82,88.42,88.94,91.61,99.816,2025-12-26
AILOG00503,Voice Solution,129,1.08,92.19,93.39,91.92,99.496,2026-02-04
AILOG00504,Sherpa AI,339,2.1,84.58,94.07,95.75,99.463,2026-06-03
AILOG00505,Sherpa AI,359,1.59,88.39,85.27,96.72,99.566,2026-06-19
AILOG00506,Voice Solution,269,1.99,83.6,93.94,92.69,99.343,2025-12-28
AILOG00507,Voice Solution,96,1.78,91.6,92.85,94.95,99.391,2026-05-03
AILOG00508,Sherpa AI,302,0.88,85.98,87.88,95.18,98.469,2026-05-28
AILOG00509,Voice Solution,106,2.65,87.06,93.03,89.68,99.358,2026-04-12
AILOG00510,Sherpa AI,269,1.79,93.04,86.83,93.64,99.549,2026-01-28
AILOG00511,Voice Solution,227,1.56,91.5,91.62,92.11,99.469,2026-02-05
AILOG00512,Sherpa AI,178,2.18,93.38,99.7,89.33,99.874,2026-01-14
AILOG00513,Voice Solution,31,1.05,96.91,90.92,94.64,100.0,2026-01-27
AILOG00514,Voice Solution,244,0.78,89.33,88.63,97.04,99.037,2025-11-06
AILOG00515,Sherpa AI,377,2.16,98.53,84.74,94.13,98.733,2026-04-05
AILOG00516,Sherpa AI,320,2.55,89.87,90.33,86.28,99.928,2026-01-02
AILOG00517,Voice Solution,403,1.99,94.93,93.99,92.63,99.633,2025-11-29
AILOG00518,Sherpa AI,51,2.32,88.87,87.16,91.32,99.014,2026-05-10
AILOG00519,Voice Solution,73,0.98,92.78,92.16,99.34,99.188,2026-05-23
AILOG00520,Sherpa AI,469,1.57,87.08,88.95,92.98,99.148,2025-11-27
AILOG00521,Voice Solution,261,1.37,95.03,88.41,89.16,99.435,2026-01-24
AILOG00522,Voice Solution,388,2.47,94.18,91.96,93.86,100.0,2026-05-29
AILOG00523,Sherpa AI,134,2.12,88.04,82.43,95.91,98.852,2026-03-18
AILOG00524,Voice Solution,490,2.47,89.7,89.23,94.3,99.446,2026-04-21
AILOG00525,Voice Solution,307,1.4,84.75,93.95,91.59,99.428,2026-04-05
AILOG00526,Voice Solution,418,1.06,93.19,89.26,92.62,98.307,2026-06-17
AILOG00527,Voice Solution,123,2.66,92.78,90.03,96.3,100.0,2026-04-28
AILOG00528,Sherpa AI,330,1.82,83.45,89.47,94.3,99.405,2026-07-05
AILOG00529,Voice Solution,316,2.49,98.77,97.65,100.0,99.878,2026-04-11
AILOG00530,Sherpa AI,146,1.76,90.79,91.54,94.29,98.491,2026-04-12
AILOG00531,Voice Solution,59,3.23,87.95,84.9,89.42,100.0,2026-06-06
AILOG00532,Voice Solution,91,2.57,94.39,86.54,93.4,99.124,2026-01-15
AILOG00533,Voice Solution,254,1.7,86.65,90.38,92.31,98.148,2026-05-23
AILOG00534,Sherpa AI,389,1.81,94.88,95.03,89.34,98.589,2026-06-04
AILOG00535,Voice Solution,452,1.82,83.71,92.64,94.39,98.686,2026-06-11
AILOG00536,Voice Solution,489,1.06,88.0,93.97,92.75,98.913,2026-05-12
AILOG00537,Voice Solution,266,1.49,88.61,85.48,94.45,98.655,2026-05-11
AILOG00538,Sherpa AI,313,1.44,86.55,92.52,99.49,99.705,2026-07-18
AILOG00539,Voice Solution,266,1.95,85.68,87.05,93.61,99.39,2026-05-11
AILOG00540,Sherpa AI,331,1.27,86.81,89.52,97.07,99.556,2026-02-12
AILOG00541,Voice Solution,53,1.7,86.6,93.4,93.43,99.515,2026-05-23
AILOG00542,Voice Solution,148,1.56,86.89,87.73,95.25,99.177,2026-05-03
AILOG00543,Voice Solution,29,1.85,95.45,84.24,94.36,98.52,2026-06-05
AILOG00544,Voice Solution,187,2.75,90.95,88.53,94.8,98.544,2026-01-30
AILOG00545,Voice Solution,291,2.51,88.6,90.48,93.61,98.566,2026-05-17
AILOG00546,Sherpa AI,235,0.95,92.44,92.73,98.35,98.754,2025-12-09
AILOG00547,Voice Solution,449,1.77,88.57,86.44,95.9,100.0,2026-05-16
AILOG00548,Voice Solution,427,1.6,85.43,87.78,94.35,98.552,2026-01-18
AILOG00549,Voice Solution,259,1.38,81.77,90.86,96.73,100.0,2026-06-05
AILOG00550,Voice Solution,33,3.2,93.45,92.18,94.39,98.773,2026-02-02
AILOG00551,Voice Solution,109,1.46,78.98,90.81,97.35,98.622,2026-04-21
AILOG00552,Sherpa AI,442,1.5,82.21,89.41,90.46,99.511,2025-12-13
AILOG00553,Voice Solution,37,2.94,91.27,87.04,100.0,99.934,2026-03-12
AILOG00554,Sherpa AI,359,2.43,88.92,93.55,94.52,98.488,2026-01-16
AILOG00555,Voice Solution,188,1.51,95.57,94.85,90.58,99.255,2026-06-20
AILOG00556,Voice Solution,75,2.29,86.1,87.66,96.25,99.894,2025-12-09
AILOG00557,Voice Solution,183,1.64,92.46,88.1,97.88,99.755,2025-12-24
AILOG00558,Voice Solution,171,1.69,88.21,92.73,90.93,98.528,2026-03-31
AILOG00559,Voice Solution,109,1.28,91.47,90.67,92.58,99.198,2026-05-07
AILOG00560,Voice Solution,304,0.25,89.76,92.33,97.04,98.495,2026-05-05
AILOG00561,Voice Solution,41,0.87,91.27,91.08,95.69,99.487,2026-03-15
AILOG00562,Sherpa AI,286,1.08,89.97,91.52,92.68,99.383,2026-04-22
AILOG00563,Voice Solution,316,2.07,90.32,88.37,93.25,99.583,2026-02-23
AILOG00564,Sherpa AI,452,1.9,84.1,82.01,90.25,98.822,2026-06-09
AILOG00565,Voice Solution,265,2.51,89.34,90.77,91.04,98.95,2025-12-09
AILOG00566,Sherpa AI,158,1.02,91.71,92.76,88.98,99.794,2026-06-30
AILOG00567,Voice Solution,71,2.96,88.77,91.14,92.95,99.815,2026-06-09
AILOG00568,Voice Solution,86,2.9,88.54,87.02,96.03,100.0,2026-03-26
AILOG00569,Sherpa AI,104,1.82,80.53,87.68,93.2,100.0,2026-04-13
AILOG00570,Voice Solution,269,1.35,95.9,99.83,97.35,98.476,2026-07-17
AILOG00571,Sherpa AI,350,1.39,82.85,91.41,92.06,99.912,2026-05-09
AILOG00572,Sherpa AI,411,1.93,86.22,80.61,89.53,99.283,2026-06-10
AILOG00573,Voice Solution,434,3.02,85.45,87.7,97.46,99.664,2026-04-23
AILOG00574,Sherpa AI,142,1.74,90.34,89.13,95.1,99.131,2026-01-31
AILOG00575,Sherpa AI,221,0.77,90.54,85.05,97.68,98.843,2026-02-14
AILOG00576,Sherpa AI,25,3.03,91.97,89.48,92.99,99.158,2026-07-03
AILOG00577,Sherpa AI,356,1.54,92.17,88.03,98.77,99.332,2025-12-13
AILOG00578,Voice Solution,218,2.74,96.76,90.78,90.77,99.445,2026-07-16
AILOG00579,Voice Solution,243,2.21,87.63,88.86,93.14,99.787,2026-01-25
AILOG00580,Sherpa AI,32,1.7,85.26,87.2,95.22,98.781,2026-02-05
AILOG00581,Voice Solution,25,2.43,87.94,88.64,92.59,98.738,2026-01-02
AILOG00582,Voice Solution,470,1.32,84.03,93.39,94.68,98.485,2026-02-11
AILOG00583,Voice Solution,430,1.61,87.45,90.26,97.74,99.189,2026-07-12
AILOG00584,Sherpa AI,140,1.46,82.02,89.14,95.13,98.863,2025-11-01
AILOG00585,Voice Solution,64,1.67,85.24,91.4,93.46,99.134,2026-04-03
AILOG00586,Sherpa AI,381,2.16,81.41,89.99,97.68,99.312,2025-12-05
AILOG00587,Voice Solution,45,2.15,94.44,85.57,95.54,98.409,2025-11-27
AILOG00588,Voice Solution,23,0.79,89.5,92.75,93.98,99.022,2026-06-12
AILOG00589,Sherpa AI,312,1.45,97.46,87.5,93.76,99.481,2026-05-06
AILOG00590,Sherpa AI,296,1.56,94.0,88.63,92.9,99.334,2026-04-08
AILOG00591,Voice Solution,303,2.18,94.44,83.95,96.53,99.113,2026-01-08
AILOG00592,Voice Solution,229,0.89,88.37,93.29,96.64,99.282,2026-04-14
AILOG00593,Voice Solution,307,2.26,91.21,90.5,97.8,99.164,2026-07-16
AILOG00594,Sherpa AI,378,1.07,84.97,91.14,95.29,98.802,2026-02-10
AILOG00595,Voice Solution,200,1.96,86.6,93.26,92.37,98.717,2026-05-12
AILOG00596,Voice Solution,272,2.52,89.06,93.29,94.99,100.0,2026-07-17
AILOG00597,Sherpa AI,436,1.0,81.17,87.18,92.31,99.614,2025-11-21
AILOG00598,Voice Solution,301,1.96,86.72,90.05,94.49,99.841,2025-12-15
AILOG00599,Voice Solution,164,1.68,92.57,89.66,98.23,99.602,2026-04-20
AILOG00600,Sherpa AI,459,1.16,86.79,89.28,97.54,99.996,2026-04-27
AILOG00601,Sherpa AI,135,1.0,85.69,86.78,96.72,99.587,2026-06-11
AILOG00602,Sherpa AI,368,1.34,87.27,95.7,93.93,98.248,2025-11-24
AILOG00603,Voice Solution,487,1.27,92.37,94.06,96.69,98.881,2026-01-23
AILOG00604,Sherpa AI,49,1.67,90.62,91.77,92.08,99.418,2025-12-30
AILOG00605,Sherpa AI,396,1.52,87.99,95.43,89.61,99.404,2026-03-02
AILOG00606,Voice Solution,261,2.08,89.08,91.9,94.82,99.366,2025-11-05
AILOG00607,Sherpa AI,24,2.33,92.86,88.79,92.87,98.742,2026-04-03
AILOG00608,Voice Solution,393,0.81,94.88,88.31,99.35,99.019,2026-01-25
AILOG00609,Sherpa AI,281,1.64,86.86,91.54,98.9,99.424,2026-01-14
AILOG00610,Sherpa AI,125,1.18,88.63,84.49,91.93,99.318,2026-05-10
AILOG00611,Sherpa AI,143,1.09,94.6,93.47,96.08,99.688,2026-07-10
AILOG00612,Voice Solution,465,0.78,91.35,83.49,88.08,98.763,2026-01-07
AILOG00613,Sherpa AI,413,0.73,82.69,94.41,95.02,99.543,2026-03-26
AILOG00614,Voice Solution,345,1.46,84.98,91.99,94.94,99.014,2026-03-02
AILOG00615,Sherpa AI,157,2.06,85.12,97.8,91.02,99.122,2025-12-12
AILOG00616,Sherpa AI,125,2.05,87.13,90.72,94.5,99.272,2026-03-30
AILOG00617,Voice Solution,232,1.12,90.66,92.62,91.22,98.434,2026-01-01
AILOG00618,Voice Solution,319,1.05,97.48,92.79,96.56,99.364,2026-07-13
AILOG00619,Sherpa AI,75,1.96,88.63,86.46,94.56,99.929,2026-03-11
AILOG00620,Voice Solution,151,1.52,91.97,85.73,98.48,98.692,2025-11-20
AILOG00621,Sherpa AI,288,2.38,94.1,86.26,89.41,100.0,2026-05-18
AILOG00622,Voice Solution,141,1.08,95.69,89.87,91.4,98.976,2026-06-09
AILOG00623,Sherpa AI,221,0.59,94.11,89.97,92.54,99.595,2026-03-11
AILOG00624,Voice Solution,227,2.2,85.64,90.14,95.47,98.638,2026-04-20
AILOG00625,Voice Solution,294,0.57,82.47,91.98,94.81,100.0,2026-03-25
AILOG00626,Sherpa AI,473,0.86,86.17,87.03,95.28,98.77,2026-04-30
AILOG00627,Sherpa AI,109,1.37,89.76,93.36,92.05,99.404,2026-04-10
AILOG00628,Voice Solution,209,1.61,85.66,91.72,88.29,99.032,2025-12-30
AILOG00629,Sherpa AI,284,2.19,81.69,96.32,91.72,99.275,2026-06-03
AILOG00630,Voice Solution,65,1.14,83.53,91.72,98.22,99.356,2026-01-07
AILOG00631,Sherpa AI,331,2.66,99.9,89.72,92.14,99.137,2026-05-11
AILOG00632,Voice Solution,349,0.81,88.01,98.59,94.53,98.96,2026-06-13
AILOG00633,Voice Solution,59,1.56,97.1,89.66,94.18,99.276,2026-05-16
AILOG00634,Voice Solution,86,2.34,87.94,91.16,94.55,99.266,2026-04-10
AILOG00635,Voice Solution,132,2.37,92.57,91.74,89.99,99.462,2026-07-07
AILOG00636,Sherpa AI,358,0.25,88.36,93.72,96.45,99.542,2026-02-19
AILOG00637,Sherpa AI,81,3.56,89.03,90.34,93.7,99.705,2025-12-29
AILOG00638,Voice Solution,246,1.59,92.5,99.9,100.0,99.581,2025-12-03
AILOG00639,Voice Solution,193,1.98,87.19,87.71,92.88,99.366,2025-12-11
