account id,lead source,product interested,sales stage,followup required,deal value inr,account manager,region,last updated
ACC0293,Event,Sherpa AI,Closed Won,Yes,933430,Manager A,Pune,30-06-2026
ACC0294,Referral,Sherpa AI,Demo,Yes,2373083,Manager A,Delhi,06-12-2025
ACC0295,Outbound,Voice Solution,Qualified,Yes,657466,Manager A,Pune,10-07-2026
ACC0296,Partner,Voice Solution,Proposal,No,1561121,Manager A,Bangalore,01-07-2026
ACC0297,Inbound,Sherpa AI,Negotiation,No,1382738,Manager D,Chennai,12-12-2025
ACC0298,Outbound,Sherpa AI,Discovery,Yes,1657266,Manager D,Mumbai,08-01-2026
ACC0299,Partner,Sherpa AI,Discovery,Yes,2412253,Manager E,Pune,15-02-2026
ACC0300,Outbound,Voice Solution,Closed Lost,Yes,2415590,Manager D,Pune,09-12-2025
ACC0301,Partner,Voice Solution,Closed Lost,Yes,1777003,Manager F,Delhi,08-01-2026
ACC0302,Inbound,Voice Solution,Closed Lost,Yes,1248866,Manager B,Delhi,29-04-2026
ACC0303,Partner,Sherpa AI,Closed Won,Yes,1091166,Manager F,Hyderabad,12-11-2025
ACC0304,LinkedIn,Voice Solution,Discovery,Yes,1649166,Manager D,Pune,23-05-2026
ACC0305,Outbound,Voice Solution,Discovery,Yes,763622,Manager B,Bangalore,06-12-2025
ACC0306,Inbound,Voice Solution,Demo,Yes,2349009,Manager B,Chennai,06-03-2026
ACC0307,Partner,Voice Solution,Demo,No,2003839,Manager A,Chennai,02-01-2026
ACC0308,LinkedIn,Sherpa AI,Closed Lost,Yes,443367,Manager E,Chennai,21-01-2026
ACC0309,LinkedIn,Voice Solution,Closed Won,No,1665433,Manager A,Pune,04-12-2025
ACC0310,Event,Sherpa AI,Negotiation,No,1347305,Manager A,Delhi,28-06-2026
ACC0311,LinkedIn,Sherpa AI,Discovery,No,1676446,Manager F,Bangalore,05-02-2026
ACC0312,Referral,Voice Solution,Closed Lost,No,2096360,Manager D,Chennai,19-12-2025
ACC0313,Inbound,Sherpa AI,Closed Won,Yes,1922821,Manager F,Pune,26-03-2026
ACC0314,Inbound,Sherpa AI,Discovery,Yes,728292,Manager D,Mumbai,05-03-2026
ACC0315,Inbound,Sherpa AI,Closed Won,Yes,726880,Manager F,Hyderabad,08-05-2026
ACC0316,Partner,Voice Solution,Discovery,No,1098931,Manager B,Hyderabad,27-12-2025
ACC0317,Outbound,Voice Solution,Qualified,No,1601593,Manager D,Chennai,17-02-2026
ACC0318,Partner,Voice Solution,Negotiation,No,292811,Manager D,Delhi,05-11-2025
ACC0319,Referral,Sherpa AI,Negotiation,Yes,1667938,Manager F,Hyderabad,24-11-2025
ACC0320,Outbound,Sherpa AI,Qualified,No,2052317,Manager C,Hyderabad,09-06-2026
ACC0321,LinkedIn,Sherpa AI,Demo,Yes,993546,Manager B,Hyderabad,10-11-2025
ACC0322,Partner,Voice Solution,Closed Lost,Yes,1814849,Manager B,Hyderabad,14-04-2026
ACC0323,Outbound,Voice Solution,Negotiation,No,2281421,Manager C,Chennai,03-06-2026
ACC0324,LinkedIn,Voice Solution,Negotiation,Yes,154895,Manager F,Pune,06-03-2026
ACC0325,Outbound,Voice Solution,Discovery,No,2433793,Manager F,Bangalore,27-01-2026
ACC0326,LinkedIn,Sherpa AI,Qualified,Yes,499319,Manager B,Bangalore,22-02-2026
ACC0327,Outbound,Voice Solution,Discovery,No,1008478,Manager F,Delhi,21-11-2025
ACC0328,Partner,Voice Solution,Discovery,Yes,424857,Manager E,Pune,28-03-2026
ACC0329,Partner,Voice Solution,Discovery,No,314241,Manager E,Mumbai,03-07-2026
ACC0330,Referral,Voice Solution,Discovery,No,682927,Manager C,Bangalore,05-06-2026
ACC0331,Event,Voice Solution,Proposal,No,1630520,Manager D,Mumbai,28-06-2026
ACC0332,Inbound,Voice Solution,Demo,Yes,2151556,Manager E,Bangalore,20-06-2026
ACC0333,Partner,Voice Solution,Closed Won,No,1514323,Manager F,Bangalore,20-06-2026
ACC0334,Partner,Voice Solution,Discovery,Yes,2275640,Manager C,Delhi,30-06-2026
ACC0335,LinkedIn,Voice Solution,Proposal,Yes,365121,Manager E,Hyderabad,09-05-2026
ACC0336,Event,Sherpa AI,Qualified,Yes,1000897,Manager A,Delhi,17-06-2026
ACC0337,Partner,Voice Solution,Proposal,No,1727295,Manager C,Bangalore,05-01-2026
ACC0338,Outbound,Sherpa AI,Qualified,Yes,1427476,Manager B,Pune,28-05-2026
ACC0339,Event,Sherpa AI,Closed Lost,No,1824700,Manager E,Hyderabad,16-11-2025
ACC0340,Inbound,Voice Solution,Closed Won,No,290984,Manager B,Pune,08-06-2026
ACC0341,Outbound,Sherpa AI,Proposal,Yes,1898950,Manager C,Pune,15-07-2026
ACC0342,LinkedIn,Voice Solution,Qualified,No,1944804,Manager E,Pune,17-06-2026
ACC0343,Referral,Sherpa AI,Proposal,Yes,2039591,Manager B,Hyderabad,27-02-2026
ACC0344,Outbound,Sherpa AI,Closed Won,No,1753878,Manager D,Pune,27-04-2026
ACC0345,Inbound,Sherpa AI,Discovery,Yes,1431045,Manager D,Hyderabad,20-11-2025
ACC0346,Outbound,Voice Solution,Proposal,Yes,573937,Manager A,Mumbai,06-12-2025
ACC0347,Event,Voice Solution,Closed Won,Yes,1928016,Manager F,Bangalore,16-02-2026
ACC0348,Event,Voice Solution,Closed Won,Yes,2250248,Manager C,Chennai,08-05-2026
ACC0349,Inbound,Sherpa AI,Closed Won,Yes,1137588,Manager F,Pune,27-04-2026
ACC0350,Event,Sherpa AI,Closed Won,Yes,1999657,Manager F,Delhi,04-02-2026
ACC0351,Outbound,Voice Solution,Closed Lost,Yes,602827,Manager B,Mumbai,20-11-2025
ACC0352,Referral,Voice Solution,Demo,Yes,672551,Manager A,Delhi,13-04-2026
ACC0353,Outbound,Sherpa AI,Proposal,Yes,2419726,Manager C,Chennai,05-02-2026
ACC0354,Referral,Voice Solution,Closed Won,No,1253396,Manager D,Hyderabad,23-03-2026
ACC0355,Event,Sherpa AI,Negotiation,Yes,799830,Manager F,Chennai,01-01-2026
ACC0356,Outbound,Sherpa AI,Closed Lost,No,589454,Manager B,Delhi,30-06-2026
ACC0357,Event,Voice Solution,Qualified,No,1438943,Manager F,Chennai,26-06-2026
ACC0358,Referral,Sherpa AI,Demo,No,920007,Manager E,Bangalore,11-03-2026
ACC0359,Event,Voice Solution,Discovery,No,1432381,Manager D,Chennai,01-02-2026
ACC0360,Partner,Voice Solution,Discovery,Yes,2148055,Manager F,Pune,30-01-2026
ACC0361,LinkedIn,Sherpa AI,Discovery,No,1971440,Manager E,Bangalore,13-03-2026
ACC0362,Outbound,Sherpa AI,Negotiation,Yes,2427271,Manager E,Pune,03-03-2026
ACC0363,Partner,Voice Solution,Qualified,No,524363,Manager B,Chennai,26-02-2026
ACC0364,Event,Voice Solution,Negotiation,No,1678894,Manager B,Bangalore,17-05-2026
ACC0365,Event,Voice Solution,Negotiation,Yes,452195,Manager E,Bangalore,01-11-2025
ACC0366,LinkedIn,Voice Solution,Discovery,No,1851365,Manager A,Chennai,30-05-2026
ACC0367,Event,Voice Solution,Discovery,Yes,934175,Manager F,Mumbai,31-05-2026
ACC0368,LinkedIn,Voice Solution,Negotiation,Yes,326941,Manager E,Hyderabad,26-01-2026
ACC0369,Outbound,Voice Solution,Closed Won,Yes,1476335,Manager E,Hyderabad,02-04-2026
ACC0370,Referral,Voice Solution,Closed Won,No,587800,Manager B,Hyderabad,06-05-2026
ACC0371,LinkedIn,Voice Solution,Closed Won,No,2064364,Manager F,Bangalore,31-12-2025
ACC0372,LinkedIn,Sherpa AI,Closed Lost,No,1524558,Manager C,Hyderabad,03-02-2026
ACC0373,Partner,Sherpa AI,Proposal,Yes,1841240,Manager D,Bangalore,11-12-2025
ACC0374,Event,Voice Solution,Closed Lost,Yes,1591069,Manager B,Mumbai,27-03-2026
ACC0375,Outbound,Voice Solution,Closed Won,No,2016388,Manager F,Chennai,04-07-2026
ACC0376,Referral,Voice Solution,Closed Won,Yes,1476850,Manager F,Chennai,12-03-2026
ACC0377,Inbound,Voice Solution,Qualified,No,2290157,Manager A,Bangalore,03-03-2026
ACC0378,LinkedIn,Voice Solution,Closed Lost,Yes,512655,Manager D,Bangalore,23-03-2026
ACC0379,Inbound,Sherpa AI,Proposal,Yes,2026750,Manager B,Mumbai,01-05-2026
ACC0380,Event,Sherpa AI,Closed Won,Yes,551436,Manager B,Hyderabad,11-05-2026
ACC0381,LinkedIn,Sherpa AI,Qualified,No,802145,Manager C,Mumbai,26-05-2026
ACC0382,Inbound,Voice Solution,Demo,Yes,304390,Manager A,Chennai,19-06-2026
ACC0383,Partner,Sherpa AI,Discovery,Yes,823556,Manager A,Chennai,22-11-2025
ACC0384,Inbound,Sherpa AI,Discovery,Yes,1393965,Manager F,Pune,19-01-2026
ACC0385,Partner,Voice Solution,Qualified,Yes,1810025,Manager F,Hyderabad,10-03-2026
ACC0386,Referral,Voice Solution,Closed Won,Yes,2399078,Manager B,Chennai,25-12-2025
ACC0387,Event,Voice Solution,Qualified,Yes,2226552,Manager C,Pune,05-01-2026
ACC0388,Outbound,Voice Solution,Demo,No,1295053,Manager B,Bangalore,15-06-2026
ACC0389,Inbound,Sherpa AI,Discovery,Yes,2249915,Manager E,Chennai,26-11-2025
ACC0390,LinkedIn,Voice Solution,Proposal,No,1353246,Manager F,Delhi,11-07-2026
ACC0391,Event,Voice Solution,Discovery,No,993242,Manager E,Hyderabad,16-05-2026
ACC0392,Inbound,Voice Solution,Discovery,Yes,2307107,Manager C,Pune,10-03-2026
ACC0393,LinkedIn,Voice Solution,Proposal,Yes,1503857,Manager B,Hyderabad,01-07-2026
ACC0394,LinkedIn,Sherpa AI,Negotiation,No,1036834,Manager F,Hyderabad,31-05-2026
ACC0395,Outbound,Voice Solution,Qualified,Yes,836626,Manager C,Delhi,09-05-2026
ACC0396,Outbound,Sherpa AI,Discovery,Yes,1562983,Manager B,Mumbai,14-06-2026
ACC0397,LinkedIn,Voice Solution,Discovery,Yes,1258178,Manager B,Bangalore,04-07-2026
ACC0398,Outbound,Voice Solution,Closed Lost,No,1971648,Manager E,Hyderabad,26-12-2025
ACC0399,LinkedIn,Voice Solution,Demo,Yes,738412,Manager D,Chennai,25-12-2025
ACC0400,Inbound,Sherpa AI,Proposal,No,346921,Manager A,Bangalore,02-04-2026
ACC0401,Referral,Voice Solution,Discovery,No,1054192,Manager F,Chennai,23-12-2025
ACC0402,Outbound,Voice Solution,Proposal,Yes,1875165,Manager A,Bangalore,19-02-2026
ACC0403,Partner,Voice Solution,Qualified,Yes,1388900,Manager C,Bangalore,23-05-2026
ACC0404,Partner,Voice Solution,Qualified,Yes,1502744,Manager A,Pune,20-02-2026
ACC0405,Partner,Sherpa AI,Proposal,Yes,2352346,Manager E,Chennai,16-07-2026
ACC0406,Referral,Voice Solution,Demo,Yes,1845160,Manager D,Chennai,16-11-2025
ACC0407,LinkedIn,Voice Solution,Qualified,Yes,325612,Manager F,Bangalore,15-04-2026
ACC0408,LinkedIn,Voice Solution,Negotiation,Yes,473555,Manager B,Hyderabad,07-04-2026
ACC0409,Event,Sherpa AI,Closed Lost,Yes,142262,Manager B,Chennai,07-07-2026
ACC0410,Partner,Voice Solution,Demo,Yes,2178237,Manager E,Delhi,30-04-2026
ACC0411,Partner,Sherpa AI,Negotiation,No,206435,Manager F,Delhi,10-05-2026
ACC0412,LinkedIn,Sherpa AI,Closed Lost,Yes,789286,Manager A,Bangalore,19-03-2026
ACC0413,Partner,Voice Solution,Closed Won,No,743606,Manager B,Mumbai,17-01-2026
ACC0414,LinkedIn,Voice Solution,Proposal,Yes,2184281,Manager A,Bangalore,20-12-2025
ACC0415,LinkedIn,Voice Solution,Negotiation,Yes,492278,Manager E,Bangalore,24-01-2026
ACC0416,Outbound,Sherpa AI,Qualified,Yes,453082,Manager B,Hyderabad,02-05-2026
ACC0417,LinkedIn,Voice Solution,Proposal,Yes,1638971,Manager C,Hyderabad,02-05-2026
ACC0418,Inbound,Voice Solution,Discovery,Yes,1403511,Manager D,Pune,04-11-2025
ACC0419,Inbound,Sherpa AI,Discovery,No,476140,Manager A,Mumbai,19-02-2026
ACC0420,Inbound,Voice Solution,Demo,No,1209897,Manager F,Mumbai,09-07-2026
ACC0421,Inbound,Voice Solution,Qualified,Yes,635814,Manager A,Mumbai,13-03-2026
ACC0422,Referral,Voice Solution,Negotiation,Yes,863871,Manager A,Mumbai,08-02-2026
ACC0423,Event,Voice Solution,Demo,Yes,584780,Manager A,Mumbai,21-04-2026
ACC0424,Event,Voice Solution,Proposal,Yes,1830645,Manager E,Bangalore,27-02-2026
ACC0425,LinkedIn,Voice Solution,Qualified,Yes,207535,Manager E,Bangalore,24-04-2026
ACC0426,Partner,Sherpa AI,Qualified,Yes,115063,Manager F,Pune,30-11-2025
ACC0427,Inbound,Voice Solution,Proposal,Yes,1677077,Manager E,Delhi,25-12-2025
ACC0428,Event,Sherpa AI,Closed Lost,Yes,1957805,Manager F,Delhi,15-05-2026
ACC0429,Event,Sherpa AI,Qualified,Yes,1381418,Manager F,Pune,11-12-2025
ACC0430,Inbound,Voice Solution,Discovery,Yes,1233522,Manager E,Pune,22-04-2026
ACC0431,Referral,Sherpa AI,Closed Won,Yes,713206,Manager B,Chennai,07-06-2026
ACC0432,Referral,Voice Solution,Qualified,No,1172231,Manager E,Bangalore,27-05-2026
ACC0433,Event,Sherpa AI,Closed Won,Yes,1637676,Manager B,Mumbai,07-04-2026
ACC0434,Referral,Sherpa AI,Proposal,No,2340811,Manager C,Chennai,16-06-2026
ACC0435,Outbound,Voice Solution,Demo,No,1957563,Manager E,Hyderabad,24-01-2026
ACC0436,Inbound,Voice Solution,Discovery,No,1955247,Manager C,Bangalore,22-04-2026
ACC0437,Event,Voice Solution,Discovery,No,1272017,Manager E,Pune,03-07-2026
ACC0438,Inbound,Voice Solution,Discovery,No,1507858,Manager C,Delhi,22-04-2026
ACC0439,Referral,Voice Solution,Closed Won,No,1459871,Manager D,Bangalore,31-05-2026
ACC0440,Inbound,Voice Solution,Negotiation,Yes,1293283,Manager C,Pune,23-01-2026
ACC0441,Referral,Sherpa AI,Negotiation,Yes,1332219,Manager B,Bangalore,22-04-2026
ACC0442,Referral,Voice Solution,Closed Won,No,1805080,Manager A,Bangalore,02-05-2026
ACC0443,Inbound,Sherpa AI,Discovery,No,1574491,Manager F,Bangalore,13-03-2026
ACC0444,Referral,Sherpa AI,Negotiation,No,1502383,Manager C,Hyderabad,16-05-2026
ACC0445,Outbound,Voice Solution,Proposal,No,1540564,Manager A,Delhi,25-11-2025
ACC0446,LinkedIn,Sherpa AI,Closed Won,No,1422933,Manager D,Bangalore,21-03-2026
ACC0447,Inbound,Voice Solution,Discovery,No,2214096,Manager D,Pune,11-06-2026
ACC0448,LinkedIn,Voice Solution,Negotiation,No,2396893,Manager B,Hyderabad,20-11-2025
ACC0449,Inbound,Sherpa AI,Closed Won,Yes,168947,Manager B,Chennai,05-07-2026
ACC0450,Referral,Voice Solution,Demo,No,2232343,Manager C,Bangalore,20-05-2026
ACC0451,Referral,Voice Solution,Qualified,No,347129,Manager E,Hyderabad,23-02-2026
ACC0452,Event,Sherpa AI,Proposal,No,1400343,Manager D,Mumbai,08-05-2026
ACC0453,Outbound,Sherpa AI,Demo,No,172264,Manager A,Chennai,26-11-2025
ACC0454,Event,Sherpa AI,Negotiation,Yes,288996,Manager E,Delhi,24-12-2025
ACC0455,LinkedIn,Sherpa AI,Closed Lost,Yes,2406561,Manager D,Bangalore,19-04-2026
ACC0456,Referral,Voice Solution,Proposal,No,1510566,Manager C,Bangalore,11-11-2025
ACC0457,Event,Voice Solution,Proposal,Yes,709251,Manager D,Hyderabad,27-11-2025
ACC0458,Referral,Sherpa AI,Negotiation,Yes,1935980,Manager B,Delhi,22-01-2026
ACC0459,Inbound,Voice Solution,Qualified,Yes,237693,Manager A,Mumbai,08-12-2025
ACC0460,Event,Voice Solution,Discovery,No,322621,Manager A,Chennai,26-01-2026
ACC0461,LinkedIn,Voice Solution,Closed Lost,No,288766,Manager B,Pune,05-04-2026
ACC0462,Event,Sherpa AI,Negotiation,No,1989785,Manager E,Delhi,05-05-2026
ACC0463,Referral,Voice Solution,Qualified,No,238426,Manager B,Bangalore,01-05-2026
ACC0464,Partner,Sherpa AI,Discovery,Yes,2416983,Manager A,Hyderabad,23-03-2026
ACC0465,Partner,Voice Solution,Negotiation,Yes,2321902,Manager C,Mumbai,25-05-2026
ACC0466,Outbound,Voice Solution,Closed Won,Yes,1292198,Manager E,Hyderabad,22-03-2026
ACC0467,Referral,Voice Solution,Closed Won,No,1405967,Manager F,Chennai,04-05-2026
ACC0468,Inbound,Voice Solution,Discovery,Yes,1498916,Manager D,Delhi,29-06-2026
ACC0469,Event,Sherpa AI,Closed Lost,No,1471105,Manager F,Hyderabad,08-11-2025
ACC0470,Partner,Voice Solution,Proposal,Yes,2162645,Manager C,Pune,11-01-2026
ACC0471,Inbound,Voice Solution,Negotiation,Yes,916700,Manager F,Pune,03-02-2026
ACC0472,Referral,Voice Solution,Proposal,No,1144332,Manager E,Hyderabad,06-04-2026
ACC0473,Inbound,Voice Solution,Qualified,Yes,605871,Manager A,Bangalore,11-12-2025
ACC0474,Referral,Voice Solution,Closed Lost,No,2157956,Manager A,Hyderabad,04-04-2026
ACC0475,Outbound,Voice Solution,Qualified,Yes,548250,Manager C,Mumbai,03-04-2026
ACC0476,Event,Sherpa AI,Discovery,Yes,1739922,Manager F,Delhi,23-12-2025
ACC0477,Inbound,Sherpa AI,Closed Won,Yes,158175,Manager E,Chennai,28-04-2026
ACC0478,Event,Voice Solution,Negotiation,Yes,1181905,Manager D,Pune,28-06-2026
ACC0479,Inbound,Voice Solution,Closed Won,No,2135156,Manager F,Hyderabad,17-03-2026
ACC0480,Referral,Voice Solution,Proposal,Yes,527463,Manager F,Mumbai,13-07-2026
ACC0481,Referral,Voice Solution,Demo,Yes,2465973,Manager D,Pune,12-06-2026
ACC0482,Inbound,Sherpa AI,Closed Lost,Yes,1079314,Manager B,Pune,29-04-2026
ACC0483,Outbound,Sherpa AI,Qualified,Yes,2247509,Manager C,Chennai,01-05-2026
ACC0484,Referral,Voice Solution,Closed Won,No,1204388,Manager E,Pune,17-07-2026
ACC0485,LinkedIn,Sherpa AI,Discovery,Yes,665904,Manager C,Mumbai,01-07-2026
ACC0486,LinkedIn,Voice Solution,Closed Won,Yes,1595270,Manager D,Pune,04-02-2026
ACC0487,Event,Voice Solution,Qualified,No,285128,Manager E,Pune,16-05-2026
ACC0488,LinkedIn,Voice Solution,Proposal,Yes,584699,Manager A,Hyderabad,14-11-2025
ACC0489,LinkedIn,Voice Solution,Closed Won,Yes,310128,Manager A,Hyderabad,28-02-2026
ACC0490,Outbound,Sherpa AI,Proposal,Yes,1737026,Manager E,Delhi,20-04-2026
ACC0491,Outbound,Voice Solution,Negotiation,No,1302453,Manager C,Bangalore,11-01-2026
ACC0492,Partner,Voice Solution,Closed Won,No,906575,Manager C,Mumbai,28-04-2026
ACC0493,Partner,Sherpa AI,Negotiation,No,2344241,Manager A,Bangalore,19-04-2026
ACC0494,Outbound,Sherpa AI,Closed Lost,No,1604994,Manager A,Bangalore,08-04-2026
ACC0495,Partner,Sherpa AI,Demo,Yes,141713,Manager D,Pune,03-04-2026
ACC0496,Outbound,Sherpa AI,Discovery,No,415410,Manager E,Chennai,21-01-2026
ACC0497,Partner,Voice Solution,Qualified,Yes,776560,Manager C,Chennai,27-12-2025
ACC0498,Referral,Sherpa AI,Discovery,No,2335412,Manager D,Pune,07-11-2025
ACC0499,Outbound,Sherpa AI,Qualified,Yes,1536953,Manager C,Mumbai,20-02-2026
ACC0500,Event,Sherpa AI,Proposal,Yes,2462104,Manager A,Bangalore,18-12-2025
